,Arrival_FLT,Arrival_DEP,Arrival_SCH,Arrival_ETA,Arrival_ATA
225,ETD876,AUH,11:35,12:31,12:31
226,CCA171,TSN,11:45,11:32,11:32
227,KAL706,NRT,11:45,11:22,11:22
228,AAR542,FRA,11:50,11:41,11:41
229,HKE618,HKG,11:50,11:37,11:37
230,JJA1303,KIX,11:50,11:42,11:42
231,KAL936,PRG,11:50,11:26,11:26
232,KAL938,VIE,11:50,11:53,11:53
233,CES5041,PVG,11:55,12:06,12:06
234,CSN6079,WUH,11:55,12:24,12:24
235,KAL1404,PUS,11:55,11:50,
236,KAL896,PVG,11:55,12:55,12:55
237,JJA5163,VVO,12:00,11:51,11:51
238,KAL748,OKJ,12:00,11:52,11:52
239,KAL788,FUK,12:00,12:00,12:00
240,KAL904,CDG,12:00,11:36,11:36
241,CCA139,HGH,12:05,12:36,12:36
242,KAL952,DXB,12:05,12:27,12:27
243,TWB606,TNA,12:05,11:56,11:56
244,APG884,MNL,12:10,12:04,12:04
245,CES2033,TAO,12:10,12:02,12:02
246,KAL846,TAO,12:10,13:01,13:01
247,SHU5436,VVO,12:10,11:49,11:49
248,CAL188,TPE,12:15,11:57,11:57
249,CSN687,CGQ,12:15,11:59,11:59
250,AAR247,ATL,12:20,12:29,12:29
251,ESR642,FUK,12:20,12:16,12:16
252,JJA8402,TAO,12:20,12:47,12:47
253,SHU5496,UUS,12:25,12:18,12:18
254,AAR588,BRU,12:30,11:45,11:45
255,FDX5132,MEM,12:30,12:22,12:22
256,CPA438,HKG,12:35,12:11,12:11
257,JNA212,KIX,12:35,12:34,12:34
258,AAR111,KIX,12:40,12:46,12:46
259,AAR302,DLC,12:40,13:08,13:08
260,AAR792,FRA,12:40,12:13,12:13
261,CCA401,CTU,12:40,12:39,12:39
262,KAL776,KMQ,12:40,12:33,12:33
263,CDG4087,TAO,12:50,13:19,13:19
264,MGL301,ULN,12:50,12:41,12:41
265,AAR318,TAO,12:55,13:54,13:54
266,KAL906,FRA,12:55,12:49,12:49
267,THY88,IST,12:55,15:52,15:52
268,AAR131,FUK,13:00,12:48,12:48
269,ESR612,KIX,13:00,13:04,13:04
270,AAR121,NGO,13:05,13:02,13:02
271,ASV754,HIJ,13:10,12:51,12:51
272,CCA143,YNJ,13:10,12:43,12:43
273,TWB282,KIX,13:10,12:53,12:53
274,CES2017,WEH,13:15,13:11,13:11
275,CES5021,XIY,13:15,13:36,13:36
276,KAL832,SHE,13:15,13:03,13:03
277,JNA202,NRT,13:20,13:16,13:16
278,CSN6073,YNJ,13:25,12:52,12:52
279,KAL956,IST,13:25,12:59,12:59
280,AAR328,TSN,13:30,14:14,14:14
281,CES5061,PVG,13:30,13:06,13:06
282,HKE673,HKG,13:30,13:27,13:27
283,ESR606,NRT,13:35,13:12,13:12
284,KAL918,ZRH,13:35,12:57,12:57
285,TWB670,RMQ,13:35,13:15,13:15
286,AMU822,MFM,13:40,13:20,13:20
287,HKE630,HKG,13:40,13:07,13:07
288,TWB292,FUK,13:45,13:39,13:39
289,AAR332,PEK,13:50,15:13,15:13
290,AAR502,CDG,13:50,13:33,13:33
291,ACA063,YVR,13:50,13:42,13:42
292,AAR562,FCO,13:55,13:52,13:52
293,CSN337,CAN,13:55,13:57,13:57
294,CSZ9033,SZX,13:55,13:31,13:31
295,ESR882,TPE,13:55,15:37,15:37
296,JJA8502,WEH,14:00,13:40,13:40
297,JNA082,TPE,14:00,14:05,14:05
298,CPA410,HKG,14:05,13:48,13:48
299,JJA1115,NRT,14:10,13:46,13:46
300,KAL724,KIX,14:15,14:01,14:01
301,KAL810,CGO,14:15,13:59,13:59
302,KAL806,TSN,14:20,15:01,15:01
303,KAL894,PVG,14:20,15:24,15:24
304,PAC989,CVG,14:20,16:03,16:03
305,JJA8702,YNT,14:25,15:05,15:05
306,AAR304,CGQ,14:30,14:24,14:24
307,AAR312,PVG,14:30,16:20,16:20
308,AAR362,PVG,14:30,15:49,15:49
309,CDG4081,TAO,14:30,14:39,14:39
310,JJA1101,NRT,14:30,14:03,14:03
311,ESR602,NRT,14:35,13:50,13:50
312,KAL908,LHR,14:35,14:08,14:08
313,TWB202,NRT,14:40,14:29,14:29
314,APJ005,KIX,14:45,14:20,14:20
315,JJA4502,KHH,14:45,14:10,14:10
316,KAL326,HAN,14:45,14:41,14:41
317,PAC963,CVG,14:45,15:07,15:07
318,AAR352,YNJ,14:55,14:59,14:59
319,CES267,YNT,14:55,16:09,16:09
320,KAL814,HFE,14:55,15:43,15:43
321,KLM855,AMS,14:55,14:33,14:33
322,KAL262,SEA,15:00,14:27,14:27
323,KAL876,PVG,15:00,15:37,15:37
324,KAL902,CDG,15:00,14:56,14:56
325,KAL9576,MXP,15:00,14:31,14:31
326,JJA2602,TPE,15:05,15:57,15:57
327,KAL698,TPE,15:05,15:17,15:17
328,KAL926,AMS,15:05,14:48,14:48
329,UAL893,SFO,15:05,14:50,14:50
330,AAR151,SDJ,15:10,14:59,14:59
331,JNA232,CTS,15:10,15:32,15:32
332,KAL824,MDG,15:10,15:28,15:28
333,KAL958,TLV,15:10,14:44,14:44
334,AAL281,DFW,15:15,16:47,16:47
335,CES2003,KMG,15:15,15:11,15:11
336,DAL199,SEA,15:15,15:14,15:14
337,KAL914,MAD,15:15,15:04,15:04
338,CES5033,PVG,15:20,14:46,14:46
339,KAL074,YYZ,15:20,14:53,14:53
340,XAX504,KUL,15:20,15:18,15:18
341,AAR171,OKA,15:25,15:35,15:35
342,CSN3061,CAN,15:25,15:09,15:09
343,AAR378,DLC,15:30,15:40,15:40
344,APJ905,OKA,15:30,15:50,15:50
345,CES559,TAO,15:35,15:20,15:20
346,PAC217,LAX,15:35,14:55,14:55
347,SIA600,SIN,15:35,15:23,15:23
348,KAL742,NGO,15:40,15:29,15:29
349,KAL890,TAO,15:40,15:33,15:33
350,CDG4721,TAO,15:45,15:58,15:58
351,KAL8398,HKG,15:45,16:12,16:12
352,AAR101,NRT,15:50,15:27,15:27
353,AAR522,LHR,15:50,15:42,15:42
354,JJA1601,NGO,15:50,15:53,15:53
355,KAL686,SGN,15:50,16:07,16:07
356,KAL932,FCO,15:50,15:22,15:22
357,AAR364,PVG,15:55,16:45,16:45
358,APG038,KLO,15:55,16:13,16:13
359,CQH8559,PVG,15:55,15:45,15:45
360,KAL892,YNJ,15:55,15:31,15:31
361,AAR173,CTS,16:00,15:59,15:59
362,CES217,YNZ,16:00,17:45,17:45
363,KAL768,AOJ,16:00,16:10,16:10
