Station,Time,Pressure,Altitude,Temperature,Dewpoint,WD,WS
47122,1/3/2020 12:00,300,9110,-49.5,-82.5,285,118
47122,1/3/2020 12:00,400,7170,-36.1,-54.1,290,84
47122,1/3/2020 12:00,500,5580,-24.1,-65.1,290,51
47122,1/3/2020 12:00,700,3046,-7.9,-28.9,305,36
47122,1/3/2020 12:00,850,1523,-4.7,-17.7,315,26
47122,1/3/2020 12:00,925,856,-2.1,-22.1,330,13
47122,1/3/2020 12:00,1000,234,0.2,-10.8,310,12
47122,1/4/2020 0:00,100,16050,-60.1,-89.1,280,98
47122,1/4/2020 0:00,150,13500,-58.1,-88.1,280,119
47122,1/4/2020 0:00,200,11670,-54.1,-85.1,290,153
47122,1/4/2020 0:00,250,10230,-47.7,-80.7,280,144
47122,1/4/2020 0:00,300,9050,-52.5,-64.5,280,107
47122,1/4/2020 0:00,400,7120,-36.7,-57.7,285,88
47122,1/4/2020 0:00,500,5540,-25.1,-41.1,295,70
47122,1/4/2020 0:00,700,3017,-8.9,-43.9,305,51
47122,1/4/2020 0:00,850,1502,-8.3,-12.1,310,28
47122,1/4/2020 0:00,925,839,-3.1,-11.1,305,17
47122,1/4/2020 0:00,1000,217,0.2,-7.8,255,2
47122,1/4/2020 12:00,20,26320,-52.7,-84.7,300,8
47122,1/4/2020 12:00,30,23710,-52.3,-84.3,5,12
47122,1/4/2020 12:00,50,20450,-57.1,-87.1,285,31
47122,1/4/2020 12:00,70,18330,-61.5,-90.5,285,58
47122,1/4/2020 12:00,100,16100,-62.7,-91.7,280,91
47122,1/4/2020 12:00,150,13580,-60.7,-89.7,290,108
47122,1/4/2020 12:00,200,11770,-55.7,-86.7,280,143
47122,1/4/2020 12:00,250,10340,-50.5,-82.5,295,135
47122,1/4/2020 12:00,300,9150,-46.9,-80.9,295,120
47122,1/4/2020 12:00,400,7170,-32.5,-70.5,295,80
47122,1/4/2020 12:00,500,5580,-23.5,-48.5,310,51
47122,1/4/2020 12:00,700,3044,-8.9,-55.9,315,40
47122,1/4/2020 12:00,850,1528,-5.5,-20.5,335,24
47122,1/4/2020 12:00,925,859,-1.3,-23.3,335,18
47122,1/4/2020 12:00,1000,234,3,-14,330,16
47122,1/5/2020 0:00,20,26330,-52.9,-84.9,140,6
47122,1/5/2020 0:00,30,23720,-55.7,-86.7,295,20
47122,1/5/2020 0:00,50,20480,-58.3,-88.3,320,29
47122,1/5/2020 0:00,70,18380,-61.9,-90.9,280,55
47122,1/5/2020 0:00,100,16190,-61.1,-90.1,290,89
47122,1/5/2020 0:00,150,13700,-64.3,-92.3,285,126
47122,1/5/2020 0:00,200,11920,-56.5,-87.5,285,137
47122,1/5/2020 0:00,250,10480,-50.1,-83.1,295,128
47122,1/5/2020 0:00,300,9270,-41.5,-69.5,290,126
47122,1/5/2020 0:00,400,7260,-28.1,-45.1,295,96
47122,1/5/2020 0:00,500,5630,-20.1,-63.1,300,59
47122,1/5/2020 0:00,700,3083,-6.1,-46.1,325,31
47122,1/5/2020 0:00,850,1554,-1.9,-32.9,310,11
47122,1/5/2020 0:00,925,884,-2.3,-26.3,330,17
47122,1/5/2020 0:00,1000,264,-1.1,-16.1,345,4
47122,1/5/2020 12:00,50,20510,-59.3,-89.3,275,29
47122,1/5/2020 12:00,70,18410,-61.5,-90.5,285,63
47122,1/5/2020 12:00,100,16220,-62.7,-91.7,270,80
47122,1/5/2020 12:00,150,13730,-63.1,-92.1,280,112
47122,1/5/2020 12:00,200,11940,-54.9,-85.9,270,116
47122,1/5/2020 12:00,250,10510,-52.3,-68.3,275,101
47122,1/5/2020 12:00,300,9310,-43.7,-55.7,275,94
47122,1/5/2020 12:00,400,7310,-29.1,-35.1,280,68
47122,1/5/2020 12:00,500,5690,-19.7,-32.7,305,26
47122,1/5/2020 12:00,700,3111,-5.1,-29.1,300,15
47122,1/5/2020 12:00,850,1567,0,-18,340,9
47122,1/5/2020 12:00,925,890,-0.3,-27.3,80,6
47122,1/5/2020 12:00,1000,263,3,-15,95,4
47122,1/6/2020 0:00,30,23770,-55.7,-86.7,25,8
47122,1/6/2020 0:00,50,20540,-61.1,-90.1,305,33
47122,1/6/2020 0:00,70,18440,-61.3,-90.3,290,64
47122,1/6/2020 0:00,100,16240,-61.9,-90.9,290,78
47122,1/6/2020 0:00,150,13710,-60.9,-89.9,270,110
47122,1/6/2020 0:00,200,11910,-60.5,-89.5,275,110
47122,1/6/2020 0:00,250,10510,-52.7,-84.7,275,122
47122,1/6/2020 0:00,300,9300,-42.3,-77.3,275,114
47122,1/6/2020 0:00,400,7300,-30.1,-48.1,270,83
47122,1/6/2020 0:00,500,5680,-18.3,-24.3,260,68
47122,1/6/2020 0:00,700,3084,-5.1,-9.5,260,31
47122,1/6/2020 0:00,850,1550,-0.1,-6.1,175,15
47122,1/6/2020 0:00,925,875,-0.9,-11.9,205,13
47122,1/6/2020 0:00,1000,249,2.8,-15.2,215,8
47122,1/6/2020 12:00,50,20560,-60.1,-89.1,300,29
47122,1/6/2020 12:00,70,18460,-60.5,-89.5,300,52
47122,1/6/2020 12:00,100,16270,-62.3,-91.3,275,79
47122,1/6/2020 12:00,150,13740,-58.7,-88.7,270,101
47122,1/6/2020 12:00,200,11920,-56.1,-78.1,275,148
47122,1/6/2020 12:00,250,10510,-53.5,-65.5,275,122
47122,1/6/2020 12:00,300,9310,-43.7,-54.7,265,98
47122,1/6/2020 12:00,400,7310,-28.1,-43.1,270,81
47122,1/6/2020 12:00,500,5680,-17.3,-27.3,270,51
47122,1/6/2020 12:00,700,3084,-2.9,-6.9,255,33
47122,1/6/2020 12:00,850,1523,4,0,225,33
47122,1/6/2020 12:00,925,835,4.4,-1.6,155,13
47122,1/6/2020 12:00,1000,201,2.6,-4.4,95,17
47122,1/7/2020 0:00,20,26280,-54.1,-85.1,70,20
47122,1/7/2020 0:00,30,23720,-58.3,-88.3,15,16
47122,1/7/2020 0:00,50,20530,-58.7,-88.7,305,46
47122,1/7/2020 0:00,70,18430,-64.1,-74.1,270,44
47122,1/7/2020 0:00,100,16250,-61.7,-71.7,280,69
47122,1/7/2020 0:00,150,13730,-62.1,-72.1,260,125
47122,1/7/2020 0:00,200,11920,-55.1,-65.1,260,164
47122,1/7/2020 0:00,250,10500,-53.5,-62.5,265,90
47122,1/7/2020 0:00,300,9300,-44.5,-52.5,265,74
47122,1/7/2020 0:00,400,7310,-27.9,-32.4,255,61
47122,1/7/2020 0:00,500,5670,-15.7,-19.4,255,62
47122,1/7/2020 0:00,700,3050,-1.1,-2.9,240,44
47122,1/7/2020 0:00,850,1479,6,3.1,240,20
47122,1/7/2020 0:00,925,785,6.6,1.9,225,8
47122,1/7/2020 0:00,1000,146,5.6,0.6,90,12
47122,1/7/2020 12:00,100,,,,,
47122,1/7/2020 12:00,150,,,,,
47122,1/7/2020 12:00,200,,,,,
47122,1/7/2020 12:00,250,,,,,
47122,1/7/2020 12:00,300,,,,,
47122,1/7/2020 12:00,400,,,,,
47122,1/7/2020 12:00,500,,,,,
47122,1/7/2020 12:00,700,,,,,
47122,1/7/2020 12:00,850,,,,,
47122,1/7/2020 12:00,925,,,,,
47122,1/7/2020 12:00,1000,,,,,
47122,1/8/2020 0:00,10,30830,-44.1,-78.1,95,29
47122,1/8/2020 0:00,20,26290,-52.5,-84.5,60,24
47122,1/8/2020 0:00,30,23710,-59.9,-89.9,330,7
47122,1/8/2020 0:00,50,20550,-59.5,-89.5,260,19
47122,1/8/2020 0:00,70,18430,-57.9,-87.9,270,52
47122,1/8/2020 0:00,100,16200,-57.3,-87.3,265,75
47122,1/8/2020 0:00,150,13610,-52.9,-84.9,260,111
47122,1/8/2020 0:00,200,11740,-46.7,-80.7,270,119
47122,1/8/2020 0:00,250,10240,-43.1,-78.1,265,92
47122,1/8/2020 0:00,300,9010,-41.5,-76.5,270,90
47122,1/8/2020 0:00,400,7050,-33.5,-44.5,280,51
47122,1/8/2020 0:00,500,5440,-21.5,-30.5,280,59
47122,1/8/2020 0:00,700,2904,-9.1,-14.1,310,39
47122,1/8/2020 0:00,850,1391,-3.9,-7.1,325,25
47122,1/8/2020 0:00,925,721,-1.9,-6.8,300,26
47122,1/8/2020 0:00,1000,97,2.2,-3.8,275,14
47122,1/8/2020 12:00,20,26340,-56.5,-87.5,280,5
47122,1/8/2020 12:00,30,23780,-58.1,-88.1,290,12
47122,1/8/2020 12:00,50,20580,-61.3,-90.3,260,28
47122,1/8/2020 12:00,70,18470,-56.7,-87.7,270,38
47122,1/8/2020 12:00,100,16230,-57.5,-87.5,270,64
47122,1/8/2020 12:00,150,13640,-53.7,-84.7,260,109
47122,1/8/2020 12:00,200,11780,-49.1,-82.1,270,106
47122,1/8/2020 12:00,250,10310,-48.7,-81.7,275,110
47122,1/8/2020 12:00,300,9110,-45.5,-64.5,275,119
47122,1/8/2020 12:00,400,7140,-31.3,-50.3,280,107
47122,1/8/2020 12:00,500,5520,-22.3,-54.3,295,76
47122,1/8/2020 12:00,700,2993,-8.9,-30.9,295,36
47122,1/8/2020 12:00,850,1473,-4.7,-4.8,280,21
47122,1/8/2020 12:00,925,807,-3.7,-6,255,18
47122,1/8/2020 12:00,1000,187,0.8,-5.2,270,18
47122,1/9/2020 0:00,50,20540,-61.1,-90.1,295,31
47122,1/9/2020 0:00,70,18420,-56.3,-87.3,275,34
47122,1/9/2020 0:00,100,16180,-59.3,-89.3,265,85
47122,1/9/2020 0:00,150,13620,-54.5,-85.5,265,112
47122,1/9/2020 0:00,200,11750,-49.3,-82.3,270,107
47122,1/9/2020 0:00,250,10290,-52.5,-84.5,270,107
47122,1/9/2020 0:00,300,9100,-46.7,-80.7,270,115
47122,1/9/2020 0:00,400,7140,-32.9,-53.9,275,90
47122,1/9/2020 0:00,500,5540,-23.1,-46.1,280,72
47122,1/9/2020 0:00,700,3000,-8.7,-30.7,295,56
47122,1/9/2020 0:00,850,1484,-6.1,-21.1,315,30
47122,1/9/2020 0:00,925,821,-6.7,-13.7,320,15
47122,1/9/2020 0:00,1000,208,-2.1,-10.1,310,11
47122,1/9/2020 12:00,50,20510,-59.9,-89.9,245,17
47122,1/9/2020 12:00,70,18410,-60.3,-89.3,270,41
47122,1/9/2020 12:00,100,16160,-58.1,-88.1,270,87
47122,1/9/2020 12:00,150,13590,-52.7,-84.7,275,103
47122,1/9/2020 12:00,200,11720,-51.3,-83.3,265,99
47122,1/9/2020 12:00,250,10280,-53.9,-70.9,275,97
47122,1/9/2020 12:00,300,9100,-48.9,-63.9,275,92
47122,1/9/2020 12:00,400,7150,-33.9,-53.9,290,75
47122,1/9/2020 12:00,500,5550,-21.9,-43.9,280,55
47122,1/9/2020 12:00,700,3009,-9.7,-33.7,320,38
47122,1/9/2020 12:00,850,1496,-4.5,-21.5,345,21
47122,1/9/2020 12:00,925,830,-5.3,-15.3,275,3
47122,1/9/2020 12:00,1000,215,-1.5,-10.5,295,9
47122,1/10/2020 0:00,10,30870,-42.3,-77.3,170,11
47122,1/10/2020 0:00,20,26300,-54.5,-85.5,200,11
47122,1/10/2020 0:00,30,23720,-57.5,-87.5,300,11
47122,1/10/2020 0:00,50,20500,-57.9,-87.9,270,20
47122,1/10/2020 0:00,70,18390,-59.7,-89.7,270,58
47122,1/10/2020 0:00,100,16160,-56.5,-87.5,270,62
47122,1/10/2020 0:00,150,13570,-52.9,-84.9,275,112
47122,1/10/2020 0:00,200,11700,-50.7,-82.7,275,104
47122,1/10/2020 0:00,250,10250,-50.9,-82.9,275,90
47122,1/10/2020 0:00,300,9070,-51.3,-83.3,275,79
47122,1/10/2020 0:00,400,7140,-35.1,-50.1,270,66
47122,1/10/2020 0:00,500,5540,-24.7,-30.7,260,44
47122,1/10/2020 0:00,700,3025,-8.5,-38.5,300,18
47122,1/10/2020 0:00,850,1502,-1.5,-36.5,310,15
47122,1/10/2020 0:00,925,831,-3.5,-25.5,345,11
47122,1/10/2020 0:00,1000,216,-3.3,-13.3,145,5
47122,1/10/2020 12:00,20,26270,-54.1,-85.1,195,7
47122,1/10/2020 12:00,30,23700,-56.1,-87.1,315,8
47122,1/10/2020 12:00,50,20470,-58.7,-88.7,230,25
47122,1/10/2020 12:00,70,18340,-59.3,-89.3,270,60
47122,1/10/2020 12:00,100,16110,-58.9,-88.9,270,82
47122,1/10/2020 12:00,150,13560,-55.9,-86.9,280,124
47122,1/10/2020 12:00,200,11710,-49.5,-82.5,275,131
47122,1/10/2020 12:00,250,10250,-52.5,-63.5,270,127
47122,1/10/2020 12:00,300,9070,-49.5,-65.5,270,108
47122,1/10/2020 12:00,400,7130,-34.5,-40.5,275,77
47122,1/10/2020 12:00,500,5530,-24.7,-33.7,285,49
47122,1/10/2020 12:00,700,3005,-10.1,-19.1,280,30
47122,1/10/2020 12:00,850,1486,-3.9,-11.9,295,20
47122,1/10/2020 12:00,925,819,-2.7,-28.7,305,15
47122,1/10/2020 12:00,1000,199,-0.1,-9.1,315,9
47122,1/11/2020 0:00,30,23730,-57.9,-87.9,200,9
47122,1/11/2020 0:00,50,20500,-58.9,-88.9,255,38
47122,1/11/2020 0:00,70,18380,-57.1,-87.1,280,37
47122,1/11/2020 0:00,100,16160,-58.7,-88.7,265,97
47122,1/11/2020 0:00,150,13600,-52.3,-84.3,270,127
47122,1/11/2020 0:00,200,11730,-48.5,-81.5,275,154
47122,1/11/2020 0:00,250,10260,-49.3,-82.3,270,119
47122,1/11/2020 0:00,300,9070,-50.5,-74.5,280,83
47122,1/11/2020 0:00,400,7120,-35.3,-72.3,285,57
47122,1/11/2020 0:00,500,5530,-23.7,-52.7,285,49
47122,1/11/2020 0:00,700,2983,-6.9,-41.9,285,39
47122,1/11/2020 0:00,850,1468,-6.1,-22.1,315,22
47122,1/11/2020 0:00,925,807,-4.9,-11.9,305,11
47122,1/11/2020 0:00,1000,188,-0.5,-9.5,170,1
47122,1/11/2020 12:00,10,30790,-44.1,-78.1,155,27
47122,1/11/2020 12:00,20,26240,-53.3,-85.3,220,14
47122,1/11/2020 12:00,30,23650,-57.7,-87.7,235,38
47122,1/11/2020 12:00,50,20410,-58.5,-88.5,255,47
47122,1/11/2020 12:00,70,18310,-61.7,-90.7,265,58
47122,1/11/2020 12:00,100,16120,-60.7,-89.7,260,88
47122,1/11/2020 12:00,150,13590,-55.9,-86.9,265,131
47122,1/11/2020 12:00,200,11730,-48.1,-81.1,265,174
47122,1/11/2020 12:00,250,10240,-47.3,-63.3,260,123
47122,1/11/2020 12:00,300,9040,-47.9,-60.9,260,76
47122,1/11/2020 12:00,400,7090,-33.9,-39.9,255,62
47122,1/11/2020 12:00,500,5490,-23.1,-27.9,240,41
47122,1/11/2020 12:00,700,2965,-6.7,-38.7,255,20
47122,1/11/2020 12:00,850,1451,-5.1,-24.1,270,10
47122,1/11/2020 12:00,925,786,-4.3,-24.3,320,7
47122,1/11/2020 12:00,1000,168,-1.1,-11.1,320,13
47122,1/12/2020 0:00,20,26280,-50.9,-82.9,250,16
47122,1/12/2020 0:00,30,23670,-53.5,-84.5,195,34
47122,1/12/2020 0:00,50,20430,-58.5,-88.5,260,28
47122,1/12/2020 0:00,70,18330,-61.1,-90.1,270,50
47122,1/12/2020 0:00,100,16120,-62.7,-91.7,255,117
47122,1/12/2020 0:00,150,13570,-55.3,-86.3,255,146
47122,1/12/2020 0:00,200,11700,-44.9,-78.9,255,173
47122,1/12/2020 0:00,250,10190,-39.1,-75.1,255,153
47122,1/12/2020 0:00,300,8940,-41.1,-76.1,250,117
47122,1/12/2020 0:00,400,6970,-37.5,-68.5,255,73
47122,1/12/2020 0:00,500,5410,-28.7,-45.7,265,43
47122,1/12/2020 0:00,700,2925,-12.7,-26.7,285,22
47122,1/12/2020 0:00,850,1433,-7.3,-29.3,295,17
47122,1/12/2020 0:00,925,774,-7.3,-14.3,280,14
47122,1/12/2020 0:00,1000,161,-2.7,-12.7,300,5
47122,1/12/2020 12:00,50,20380,-53.7,-84.7,265,31
47122,1/12/2020 12:00,70,18280,-55.3,-86.3,255,35
47122,1/12/2020 12:00,100,16060,-59.9,-89.9,260,105
47122,1/12/2020 12:00,150,13480,-54.5,-85.5,240,121
47122,1/12/2020 12:00,200,11610,-46.9,-80.9,255,152
47122,1/12/2020 12:00,250,10110,-40.5,-76.5,255,156
47122,1/12/2020 12:00,300,8860,-39.9,-75.9,255,115
47122,1/12/2020 12:00,400,6910,-41.1,-76.1,275,64
47122,1/12/2020 12:00,500,5370,-32.5,-55.5,280,56
47122,1/12/2020 12:00,700,2919,-16.9,-25.9,295,27
47122,1/12/2020 12:00,850,1441,-9.1,-26.1,290,12
47122,1/12/2020 12:00,925,784,-6.3,-14.3,285,18
47122,1/12/2020 12:00,1000,168,-0.7,-12.7,290,8
47122,1/13/2020 0:00,20,26260,-53.3,-85.3,255,17
47122,1/13/2020 0:00,30,23660,-55.7,-86.7,255,20
47122,1/13/2020 0:00,50,20390,-57.9,-87.9,250,37
47122,1/13/2020 0:00,70,18290,-58.3,-88.3,235,28
47122,1/13/2020 0:00,100,16040,-54.1,-85.1,265,63
47122,1/13/2020 0:00,150,13450,-51.7,-83.7,240,120
47122,1/13/2020 0:00,200,11560,-47.9,-80.9,245,98
47122,1/13/2020 0:00,250,10070,-43.7,-78.7,245,130
47122,1/13/2020 0:00,300,8840,-44.7,-78.7,255,84
47122,1/13/2020 0:00,400,6930,-41.5,-76.5,270,81
47122,1/13/2020 0:00,500,5380,-31.3,-70.3,270,68
47122,1/13/2020 0:00,700,2924,-17.3,-61.3,285,31
47122,1/13/2020 0:00,850,1454,-12.9,-57.9,280,27
47122,1/13/2020 0:00,925,804,-8.3,-55.3,290,21
47122,1/13/2020 0:00,1000,195,-3.7,-52.7,275,5
47122,1/13/2020 12:00,20,26290,-51.3,-83.3,270,14
47122,1/13/2020 12:00,30,23680,-52.3,-84.3,245,14
47122,1/13/2020 12:00,50,20410,-55.5,-86.5,250,28
47122,1/13/2020 12:00,70,18290,-56.1,-87.1,250,39
47122,1/13/2020 12:00,100,16040,-58.1,-88.1,250,55
47122,1/13/2020 12:00,150,13430,-52.1,-84.1,250,80
47122,1/13/2020 12:00,200,11550,-45.1,-79.1,240,79
47122,1/13/2020 12:00,250,10060,-45.5,-79.5,255,78
47122,1/13/2020 12:00,300,8850,-49.5,-82.5,260,64
47122,1/13/2020 12:00,400,6960,-43.3,-78.3,260,77
47122,1/13/2020 12:00,500,5420,-31.7,-40.7,260,68
47122,1/13/2020 12:00,700,2956,-15.5,-32.5,280,31
47122,1/13/2020 12:00,850,1477,-11.5,-29.5,295,15
47122,1/13/2020 12:00,925,826,-8.7,-21.7,320,14
47122,1/13/2020 12:00,1000,216,-3.1,-18.1,295,12
47122,1/14/2020 0:00,10,30860,-46.5,-80.5,40,2
47122,1/14/2020 0:00,20,26340,-49.9,-82.9,205,3
47122,1/14/2020 0:00,30,23730,-54.1,-85.1,240,15
47122,1/14/2020 0:00,50,20470,-53.9,-84.9,270,30
47122,1/14/2020 0:00,70,18340,-56.1,-87.1,250,28
47122,1/14/2020 0:00,100,16080,-56.3,-87.3,255,44
47122,1/14/2020 0:00,150,13470,-47.5,-80.5,255,60
47122,1/14/2020 0:00,200,11540,-43.7,-78.7,255,62
47122,1/14/2020 0:00,250,10050,-45.7,-79.7,255,50
47122,1/14/2020 0:00,300,8840,-44.7,-78.7,250,47
47122,1/14/2020 0:00,400,6900,-40.1,-76.1,260,44
47122,1/14/2020 0:00,500,5370,-33.9,-64.9,250,44
47122,1/14/2020 0:00,700,2953,-19.1,-32.1,265,23
47122,1/14/2020 0:00,850,1483,-10.5,-16.5,305,16
47122,1/14/2020 0:00,925,828,-6.3,-19.3,355,14
47122,1/14/2020 0:00,1000,216,-3.1,-17.1,100,6
47122,1/14/2020 12:00,150,13510,-49.7,-82.7,275,53
47122,1/14/2020 12:00,200,11610,-46.7,-80.7,275,60
47122,1/14/2020 12:00,250,10130,-48.7,-81.7,280,52
47122,1/14/2020 12:00,300,8930,-45.5,-79.5,290,53
47122,1/14/2020 12:00,400,6970,-38.1,-74.1,300,43
47122,1/14/2020 12:00,500,5410,-29.9,-68.9,300,36
47122,1/14/2020 12:00,700,2962,-19.7,-33.7,295,18
47122,1/14/2020 12:00,850,1498,-11.1,-17.1,280,11
47122,1/14/2020 12:00,925,843,-6.1,-25.1,305,8
47122,1/14/2020 12:00,1000,229,-2.1,-17.1,295,14
47122,1/15/2020 0:00,30,23780,-53.5,-84.5,285,8
47122,1/15/2020 0:00,50,20530,-56.9,-86.9,235,22
47122,1/15/2020 0:00,70,18410,-57.3,-87.3,265,18
47122,1/15/2020 0:00,100,16150,-56.7,-86.7,265,46
47122,1/15/2020 0:00,150,13540,-49.1,-82.1,270,83
47122,1/15/2020 0:00,200,11650,-46.9,-80.9,280,79
47122,1/15/2020 0:00,250,10170,-47.5,-80.5,280,88
47122,1/15/2020 0:00,300,8970,-45.7,-79.7,285,99
47122,1/15/2020 0:00,400,7030,-39.3,-64.3,285,83
47122,1/15/2020 0:00,500,5470,-29.7,-54.7,280,54
47122,1/15/2020 0:00,700,2991,-13.7,-40.7,285,26
47122,1/15/2020 0:00,850,1507,-11.1,-27.1,300,19
47122,1/15/2020 0:00,925,855,-8.1,-29.1,295,12
47122,1/15/2020 0:00,1000,247,-5.1,-18.1,305,8
47122,1/15/2020 12:00,700,3012,-13.9,-35.9,335,21
47122,1/15/2020 12:00,850,1516,-8.9,-32.9,330,17
47122,1/15/2020 12:00,925,860,-6.9,-28.9,330,12
47122,1/15/2020 12:00,1000,247,-2.1,-18.1,315,12
47122,1/16/2020 0:00,10,30910,-48.7,-81.7,55,12
47122,1/16/2020 0:00,20,26400,-54.3,-85.3,305,5
47122,1/16/2020 0:00,30,23800,-54.5,-85.5,265,10
47122,1/16/2020 0:00,50,20540,-56.7,-86.7,275,15
47122,1/16/2020 0:00,70,18420,-58.7,-88.7,275,45
47122,1/16/2020 0:00,100,16160,-55.7,-86.7,290,40
47122,1/16/2020 0:00,150,13560,-52.7,-84.7,275,63
47122,1/16/2020 0:00,200,11690,-54.7,-85.7,270,69
47122,1/16/2020 0:00,250,10270,-58.3,-74.3,265,73
47122,1/16/2020 0:00,300,9100,-48.9,-62.9,270,68
47122,1/16/2020 0:00,400,7140,-33.3,-41.3,270,60
47122,1/16/2020 0:00,500,5540,-23.7,-31.7,275,51
47122,1/16/2020 0:00,700,3018,-12.3,-47.3,290,23
47122,1/16/2020 0:00,850,1515,-6.3,-31.3,340,13
47122,1/16/2020 0:00,925,855,-6.5,-36.5,325,9
