,label,1hour_prediction
225,15.0,17.5147134639458
226,20.0,19.576624645118024
227,32.0,29.001217061195327
228,20.0,25.000675300574247
229,18.0,20.835649935133965
230,24.0,26.584099737016377
231,33.0,33.46854367353485
232,36.0,38.25138373994239
233,47.0,42.311770661384976
234,33.0,29.88646132516374
235,25.0,26.352132141009303
236,28.0,29.503003455895357
237,26.0,25.48861283221467
238,23.0,20.38703345096331
239,10.0,6.78859212537908
240,3.0,3.9154550627688436
241,2.0,1.7488293399053323
242,0.0,0.9203781341263803
243,4.0,4.251459444378438
244,15.0,19.642270444083014
245,26.0,28.404188718095494
246,27.0,31.283157253274585
247,42.0,37.399608782569025
248,27.0,26.702813205020576
249,19.0,19.705635268151447
250,23.0,20.13532377071249
251,37.0,30.523538405193023
252,20.0,25.331059533761493
253,24.0,25.385410016780725
254,25.0,28.859659900825807
255,29.0,31.060544171002725
256,43.0,41.94177333284211
257,43.0,39.09324668759146
258,36.0,30.539444157622892
259,23.0,26.271805724814246
260,31.0,29.87292705932549
261,27.0,25.644543296268452
262,22.0,20.107851017857815
263,7.0,6.181653902132987
264,3.0,2.582159857709251
265,0.0,3.2396391106995344
266,1.0,1.1825526038100413
267,4.0,4.195430289476592
268,18.0,19.61490459504082
269,29.0,32.75585640225528
270,30.0,32.28620179944646
271,29.0,31.684854719177146
272,34.0,29.279697167977965
273,23.0,21.225121909055463
274,22.0,19.9786002653018
275,29.0,31.44202776484883
276,31.0,30.57232660474541
277,20.0,22.932473110103814
278,30.0,29.24842755611276
279,29.0,32.24015438136743
280,45.0,41.725425925733816
281,37.0,36.92988146346005
282,32.0,30.20542684426317
283,25.0,26.2668765969595
284,27.0,27.90008070925354
285,25.0,23.733288050991014
286,16.0,16.34715401971013
287,15.0,10.56622383305839
288,15.0,14.658944129274117
289,1.0,3.8405666988701794
290,1.0,1.1636484528995963
291,0.0,3.0897548543276216
292,17.0,18.916643163956838
293,28.0,29.031336511015834
294,30.0,30.990545569331317
295,31.0,29.211213450141635
296,20.0,23.759849316102457
297,18.0,19.224506335946412
298,23.0,19.67094168328867
299,22.0,25.713745044664886
300,18.0,23.291817958040443
301,18.0,22.490589057149556
302,29.0,30.08644402048193
303,38.0,34.4673490096385
304,34.0,35.810956534310066
305,33.0,36.015321883149795
306,30.0,31.376636585626947
307,31.0,29.45973329787709
308,29.0,25.669714723199732
309,32.0,26.18235936459555
310,31.0,26.54694598804853
311,17.0,13.331578119329041
312,6.0,8.0685457122065
313,3.0,2.8031512118551003
314,1.0,1.0834039081414513
315,2.0,4.75562471435187
316,17.0,20.060622960536108
317,29.0,30.50267618300345
318,22.0,26.79242012283762
319,29.0,29.737056219648576
320,27.0,25.640343486283903
321,29.0,23.634836889735706
322,29.0,23.85875625306805
323,38.0,34.11430143951014
324,22.0,25.429874576661234
325,23.0,25.64741519434128
326,24.0,25.672082240411708
327,34.0,33.555558563344825
328,33.0,36.58656201380354
