,label,1hour_prediction,label,2hour_prediction
108,29.0,30.244552922242345,29.0,30.4724167916088
109,29.0,31.75152293816563,39.0,33.52973730971853
110,39.0,36.98772429834022,26.0,26.370543779900665
111,26.0,26.06646777469043,26.0,24.873605243557503
112,26.0,25.47666177314078,21.0,21.480324476080195
113,21.0,22.000527287294105,22.0,24.70485824998243
114,22.0,25.584994612166774,35.0,33.110502318066715
115,35.0,34.731277006805996,33.0,33.48252605589448
116,33.0,32.83168599226469,31.0,28.753429657504437
117,31.0,28.873560293337732,24.0,27.243768314748625
118,24.0,26.976620900149275,30.0,27.4233841189877
119,30.0,28.773703449530498,12.0,12.788427912162767
120,12.0,12.249624445273568,6.0,5.449820834295884
121,6.0,5.370629782484583,3.0,3.9699416481505456
122,3.0,3.6726521334468605,2.0,1.6323759495156276
123,2.0,1.3064798238569084,0.0,1.2612150159689697
124,0.0,0.9096883875706311,2.0,1.7968760864005935
125,2.0,1.6451661345582334,11.0,10.469080116633808
126,11.0,10.242331517224253,22.0,23.410319348075074
127,22.0,23.19957533156245,40.0,38.86438093859725
128,40.0,39.739502282718725,41.0,40.106402332350065
129,41.0,40.18359072190483,41.0,40.66569168149948
130,41.0,41.21730946349937,29.0,28.9255860020499
131,29.0,29.23031368348757,27.0,28.182409798823038
132,27.0,29.339550316435613,33.0,32.59238055499813
133,33.0,33.15296620576181,36.0,33.785274300160495
134,36.0,33.66248259982971,24.0,26.839308656941554
135,24.0,26.410056109620133,28.0,25.238698098593073
136,28.0,26.079514423194368,23.0,23.267239495405317
137,23.0,22.679444701217687,24.0,25.20390324542214
138,24.0,24.90597666043807,39.0,37.012311746650894
139,39.0,38.078807562301265,31.0,31.961728214181996
140,31.0,31.61224709102273,28.0,27.61797036321635
141,28.0,28.042918133580393,26.0,27.14424487954139
142,26.0,27.3261968344168,28.0,26.614456810016712
143,28.0,26.964817823755265,11.0,11.120568045233897
144,11.0,10.937353959916187,5.0,5.203121617144986
145,5.0,4.833012534462507,3.0,3.5774914980497767
146,3.0,3.5320314926682856,2.0,1.62876428113279
147,2.0,1.288636529192928,0.0,1.125770884151493
148,0.0,0.6966359380856307,1.0,1.6108546564656294
149,1.0,1.3840416414241365,9.0,10.489149150901923
150,9.0,9.948349646098743,24.0,23.899333223467206
151,24.0,23.77696484163261,32.0,32.79130624358232
152,32.0,32.52168627529607,43.0,41.29815352446321
153,43.0,41.784219014972656,35.0,36.37524033300211
154,35.0,38.50733113223443,30.0,30.68237277196873
155,30.0,31.368397105537934,31.0,30.830597666460342
156,31.0,30.120556845618992,34.0,30.51998693392914
157,34.0,29.063465406395284,28.0,30.394944083546115
158,28.0,29.175103394918388,25.0,25.343495375479726
159,25.0,26.341214797040653,25.0,24.393064207340696
160,25.0,23.718083466145067,18.0,19.88045904002022
161,18.0,19.87808392340303,26.0,25.953165909710233
162,26.0,25.94320265337818,35.0,34.56541073749323
163,35.0,34.66838466123393,34.0,33.22245966947639
164,34.0,32.91273069276028,27.0,27.554500400094835
165,27.0,27.878943847136828,28.0,28.029935982679763
166,28.0,28.320570196625166,25.0,24.630837596951537
167,25.0,24.628294570004698,7.0,8.324055947577637
168,7.0,8.568133808999335,6.0,4.89428652624951
169,6.0,5.4061640340527655,2.0,3.56958418273719
170,2.0,3.4532005087281252,4.0,2.0168078222372827
171,4.0,2.242681765836369,1.0,1.928435584883938
172,1.0,1.5440972955878618,2.0,2.7170332895252263
173,2.0,1.8955140764599059,7.0,10.023053395814905
174,7.0,9.973470264387508,27.0,24.635146378127256
175,27.0,24.983404445279934,33.0,34.44583519976636
176,33.0,34.142453234640975,39.0,37.178136406493095
177,39.0,37.81506801729504,38.0,40.21692114330834
