,label,1hour_prediction,label,2hour_prediction
288,15.0,15.433,1.0,1.419
289,1.0,2.093,1.0,1.4
290,1.0,1.17,0.0,1.059
291,0.0,1.051,17.0,18.191
292,17.0,18.108,28.0,28.938
293,28.0,28.932,30.0,30.328
294,30.0,30.761,31.0,30.199
295,31.0,30.287,20.0,22.295
296,20.0,22.488,18.0,18.703
297,18.0,18.957,23.0,21.12
298,23.0,21.396,22.0,24.35
299,22.0,24.379,18.0,21.393
300,18.0,21.485,18.0,20.844
301,18.0,20.893,29.0,29.835
302,29.0,29.708,38.0,35.91
303,38.0,35.72,34.0,35.236
304,34.0,35.068,33.0,35.296
305,33.0,35.277,30.0,30.447
306,30.0,30.833,31.0,30.377
307,31.0,30.319,29.0,27.68
308,29.0,27.813,32.0,30.537
309,32.0,26.353,31.0,16.42
310,31.0,25.798,17.0,13.211
311,17.0,13.338,6.0,5.883
312,6.0,5.904,3.0,3.412
313,3.0,3.236,1.0,0.917
314,1.0,0.881,2.0,2.992
315,2.0,2.887,17.0,18.32
316,17.0,18.184,29.0,29.565
317,29.0,29.944,22.0,26.088
318,22.0,26.555,29.0,29.321
319,29.0,29.268,27.0,26.475
320,27.0,26.478,29.0,26.356
321,29.0,25.925,29.0,25.432
322,29.0,25.637,38.0,36.181
323,38.0,35.266,22.0,23.681
324,22.0,23.782,23.0,24.134
325,23.0,24.298,24.0,25.272
326,24.0,25.273,34.0,34.187
327,34.0,33.896,33.0,34.687
328,33.0,34.941,34.0,35.744
329,34.0,36.124,43.0,38.305
330,43.0,38.108,27.0,27.087
331,27.0,27.303,26.0,26.233
332,26.0,26.127,34.0,31.69
333,34.0,31.485,22.0,21.353
334,22.0,20.937,10.0,8.715
335,10.0,8.359,3.0,3.982
336,3.0,3.988,1.0,0.77
337,1.0,0.907,0.0,0.251
338,0.0,0.307,2.0,2.269
339,2.0,2.106,16.0,17.241
340,16.0,17.314,30.0,30.133
341,30.0,30.074,34.0,32.895
342,34.0,32.649,31.0,29.988
343,31.0,29.938,26.0,25.816
344,26.0,25.785,18.0,18.338
345,18.0,18.164,16.0,15.874
346,16.0,15.934,29.0,29.708
347,29.0,29.875,25.0,25.266
348,25.0,25.793,23.0,24.577
349,23.0,23.871,30.0,29.345
350,30.0,29.005,31.0,33.372
351,31.0,31.806,38.0,39.014
352,38.0,38.955,41.0,40.293
353,41.0,40.359,34.0,31.918
354,34.0,31.35,27.0,26.454
355,27.0,27.227,23.0,24.595
356,23.0,24.9,25.0,23.468
357,25.0,24.441,20.0,18.652
358,20.0,18.909,7.0,6.996
359,7.0,6.543,5.0,4.406
360,5.0,4.345,1.0,1.482
361,1.0,1.47,0.0,0.38
362,0.0,0.485,3.0,2.936
363,3.0,3.021,22.0,21.559
364,22.0,21.21,35.0,31.167
365,35.0,33.717,33.0,32.033
366,33.0,32.425,26.0,25.864
367,26.0,25.957,23.0,24.367
368,23.0,26.894,24.0,21.042
369,24.0,22.272,17.0,17.752
370,17.0,18.171,26.0,27.158
371,26.0,27.26,22.0,22.292
372,22.0,22.455,26.0,24.814
373,26.0,24.903,18.0,19.252
374,18.0,20.703,30.0,29.271
375,30.0,30.19,36.0,36.64
376,36.0,36.801,40.0,39.577
377,40.0,39.405,35.0,32.694
378,35.0,32.719,30.0,29.848
379,30.0,29.913,26.0,25.381
380,26.0,25.501,23.0,23.456
381,23.0,24.104,16.0,17.237
382,16.0,16.795,3.0,3.702
383,3.0,3.656,4.0,3.928
384,4.0,3.862,0.0,0.395
385,0.0,0.35,1.0,1.168
386,1.0,1.293,1.0,1.539
387,1.0,1.682,24.0,22.228
388,24.0,22.374,30.0,30.183
389,30.0,30.214,31.0,31.116
390,31.0,30.998,34.0,32.831
391,34.0,32.969,27.0,26.018
392,27.0,23.225,16.0,19.259
393,16.0,17.084,15.0,16.619
394,15.0,19.293,33.0,29.845
395,33.0,32.403,26.0,27.213
396,26.0,27.451,23.0,23.668
397,23.0,23.414,26.0,26.526
398,26.0,26.526,34.0,34.281
399,34.0,34.074,41.0,39.761
400,41.0,39.845,42.0,41.613
401,42.0,40.317,31.0,29.223
402,31.0,29.068,24.0,27.147
403,24.0,25.512,29.0,28.854
404,29.0,28.844,23.0,23.768
405,23.0,26.313,22.0,16.878
406,22.0,20.453,7.0,6.34
407,7.0,6.195,4.0,3.922
408,4.0,3.874,0.0,0.444
409,0.0,0.429,1.0,1.248
410,1.0,1.225,3.0,3.203
411,3.0,3.307,21.0,21.284
412,21.0,21.29,28.0,28.05
413,28.0,28.145,32.0,31.942
414,32.0,31.742,36.0,34.353
415,36.0,34.63,28.0,27.092
416,28.0,25.324,21.0,20.83
417,21.0,21.239,21.0,20.329
418,21.0,20.645,34.0,33.21
419,34.0,31.877,20.0,23.84
420,20.0,21.305,26.0,25.563
421,26.0,25.826,28.0,28.136
422,28.0,28.469,32.0,32.492
423,32.0,32.276,39.0,38.712
424,39.0,39.04,41.0,39.941
425,41.0,40.199,35.0,33.337
426,35.0,33.167,29.0,28.2
427,29.0,28.697,26.0,26.32
428,26.0,26.158,19.0,20.607
429,19.0,20.698,19.0,18.665
430,19.0,18.172,5.0,5.04
431,5.0,4.996,4.0,3.968
432,4.0,3.91,2.0,2.053
433,2.0,2.023,2.0,1.871
434,2.0,1.804,3.0,3.168
435,3.0,3.297,21.0,21.028
436,21.0,20.91,33.0,32.619
437,33.0,32.717,25.0,27.528
438,25.0,32.297,35.0,30.274
439,35.0,34.458,29.0,28.047
440,29.0,28.256,22.0,21.625
441,22.0,21.7,16.0,17.788
442,16.0,20.257,36.0,30.366
443,36.0,34.429,25.0,25.848
444,25.0,26.25,27.0,26.569
445,27.0,26.568,28.0,27.747
446,28.0,27.655,38.0,36.371
447,38.0,36.099,36.0,37.568
448,36.0,37.406,38.0,38.801
449,38.0,40.169,30.0,28.747
450,30.0,29.592,30.0,27.865
451,30.0,29.31,27.0,26.605
452,27.0,26.503,27.0,25.939
453,27.0,25.969,15.0,15.617
454,15.0,15.303,3.0,3.646
455,3.0,3.591,2.0,2.403
456,2.0,2.392,2.0,2.143
457,2.0,2.16,2.0,1.708
458,2.0,1.707,2.0,2.31
459,2.0,2.406,19.0,19.563
460,19.0,19.456,37.0,35.293
461,37.0,35.172,28.0,29.003
462,28.0,29.235,30.0,29.669
463,30.0,29.233,29.0,27.168
464,29.0,27.429,22.0,21.284
465,22.0,21.875,12.0,17.189
466,12.0,13.657,32.0,31.936
467,32.0,31.866,27.0,27.06
468,27.0,26.66,24.0,25.044
469,24.0,25.241,31.0,30.36
470,31.0,30.011,31.0,32.116
471,31.0,33.01,40.0,37.361
472,40.0,39.145,40.0,38.89
