,label,1hour_prediction,label,2hour_prediction
233,21.0,22.54,21.0,21.304
234,21.0,21.215,37.0,36.704
235,37.0,36.491,31.0,32.692
236,31.0,32.127,30.0,29.316
237,30.0,29.293,28.0,28.385
238,28.0,28.603,30.0,27.799
239,30.0,28.22,22.0,21.945
240,22.0,21.824,6.0,5.613
241,6.0,5.683,5.0,4.873
242,5.0,4.846,1.0,0.951
243,1.0,0.935,0.0,0.349
244,0.0,0.38,3.0,3.065
245,3.0,2.991,6.0,7.536
246,6.0,7.404,25.0,24.092
247,25.0,24.459,30.0,32.072
248,30.0,32.187,44.0,42.168
249,44.0,42.493,32.0,33.86
250,32.0,33.898,31.0,31.095
251,31.0,32.261,32.0,31.312
252,32.0,30.548,36.0,32.54
253,36.0,35.67,28.0,28.265
254,28.0,28.292,27.0,27.142
255,27.0,27.411,29.0,27.12
256,29.0,27.78,24.0,23.785
257,24.0,23.57,19.0,19.843
258,19.0,21.336,35.0,37.029
259,35.0,35.542,31.0,32.966
260,31.0,32.717,30.0,29.305
261,30.0,29.693,34.0,31.777
262,34.0,31.937,31.0,29.322
263,31.0,29.139,14.0,14.316
264,14.0,14.884,7.0,5.291
265,7.0,6.55,4.0,3.819
266,4.0,3.908,2.0,2.18
267,2.0,2.183,2.0,2.055
268,2.0,1.813,1.0,1.608
269,1.0,2.505,8.0,8.753
270,8.0,8.549,25.0,24.353
271,25.0,23.719,31.0,35.855
272,31.0,32.565,36.0,37.872
273,36.0,37.716,37.0,37.597
274,37.0,37.993,31.0,30.591
275,31.0,30.748,33.0,31.683
276,33.0,31.998,31.0,31.064
277,31.0,30.833,35.0,33.053
278,35.0,33.298,24.0,25.133
279,24.0,25.118,28.0,26.349
280,28.0,26.098,27.0,24.747
281,27.0,23.144,20.0,21.08
282,20.0,20.281,38.0,37.739
283,38.0,37.658,32.0,33.512
284,32.0,33.259,27.0,27.404
285,27.0,27.503,31.0,29.384
286,31.0,29.066,21.0,21.253
287,21.0,21.69,7.0,16.688
288,7.0,10.383,13.0,10.728
289,13.0,7.176,5.0,4.62
290,5.0,5.013,3.0,2.519
291,3.0,2.458,1.0,1.294
292,1.0,1.17,2.0,4.279
293,2.0,4.035,8.0,9.611
294,8.0,10.438,12.0,15.928
295,12.0,15.416,22.0,27.11
296,22.0,24.504,30.0,33.771
297,30.0,32.284,28.0,32.63
298,28.0,31.274,28.0,29.428
299,28.0,29.001,31.0,31.062
300,31.0,30.476,45.0,40.287
301,45.0,40.296,38.0,35.25
302,38.0,35.508,28.0,27.751
303,28.0,27.915,30.0,29.124
304,30.0,28.692,33.0,30.193
305,33.0,30.166,28.0,27.755
306,28.0,28.246,25.0,27.674
307,25.0,27.686,32.0,33.178
308,32.0,33.552,35.0,31.483
309,35.0,24.949,22.0,25.685
310,22.0,23.676,26.0,25.5
311,26.0,24.787,29.0,28.859
312,29.0,29.916,15.0,13.792
313,15.0,13.14,3.0,3.266
314,3.0,3.248,3.0,2.426
315,3.0,2.381,1.0,1.044
316,1.0,1.103,3.0,3.578
317,3.0,3.639,7.0,8.236
318,7.0,8.251,19.0,20.584
319,19.0,20.789,34.0,35.666
320,34.0,35.714,38.0,38.868
321,38.0,39.065,35.0,36.342
322,35.0,37.028,34.0,32.423
323,34.0,32.275,39.0,34.929
324,39.0,35.397,40.0,37.678
325,40.0,36.508,28.0,28.889
326,28.0,28.943,27.0,27.195
327,27.0,27.251,28.0,27.488
328,28.0,27.7,24.0,24.643
329,24.0,24.664,25.0,24.094
330,25.0,24.616,30.0,31.031
331,30.0,32.528,38.0,37.365
332,38.0,37.3,27.0,27.805
333,27.0,27.536,26.0,26.183
334,26.0,25.999,29.0,27.174
335,29.0,26.529,17.0,16.469
336,17.0,15.409,4.0,5.271
337,4.0,4.068,5.0,4.938
338,5.0,4.948,0.0,0.374
339,0.0,0.342,0.0,0.157
340,0.0,0.227,1.0,0.87
341,1.0,0.945,4.0,5.513
342,4.0,5.03,25.0,21.814
343,25.0,23.86,34.0,34.053
344,34.0,33.806,36.0,36.893
345,36.0,37.239,35.0,36.321
346,35.0,36.214,30.0,30.06
347,30.0,30.117,29.0,28.525
348,29.0,27.225,34.0,30.994
349,34.0,32.366,28.0,28.52
350,28.0,29.716,23.0,26.271
351,23.0,24.779,22.0,21.95
352,22.0,22.135,21.0,21.25
353,21.0,21.058,26.0,24.31
